ID_marked,original_case_study_title,original_source_citation
R-321,Building service life and its effect on the life cycle embodied energy of buildings,"Rauf, A., & Crawford, R. H. (2015). Building service life and its effect on the life cycle embodied energy of buildings. Energy. https://doi.org/10.1016/j.energy.2014.10.093"
R-322,A comparative life cycle assessment of alternative constructions of a typical Australian house design,"Carre, A. (2011). A Comparative Life Cycle Assessment of Alternative Constructions of a Typical Australian House Design (Vol. 61)"
R-323,Energy and mass flows of housing: a model and example. Building and Environment,"Johnstone, I. (1999). Energy and mass flows of housing: a model and example. Building and Environment, 36, 27–41. Retrieved from www.elsevier.com/locate/buildenv"
R-324,,"Johnstone, 1999"
R-325,,"Johnstone, 1999"
R-326,"Life cycle greenhouse gas emissions and energy analysis of prefabricated
reusable building modules","Aye, L., Ngo, T., Crawford, R. H., Gammampila, R., & Mendis, P. (2011). Life cycle greenhouse gas emissions and energy analysis of prefabricated reusable building modules. Energy and Buildings, 47, 159–168. https://doi.org/10.1016/j.enbuild.2011.11.049"
R-327,Life-cycle energy analysis of buildings: a case study,"Fay, R., Treloar, G., & Iyer-Raniga, U. (2000). Life-cycle energy analysis of buildings: a case study. Building Research & Information (Vol. 28)"
R-328,A comparative life cycle assessment of two multi storey residential apartment buildings,"Carre, A., & Crossin, E. (2015). A comparative life cycle assessment of two multi storey residential apartment buildings. Retrieved from www.fwpa.com.au"
R-329,,"Carre & Crossin, 2015"
R-330,﻿The global warming potential of building materials: an application of life cycle analysis in Nepal,"Bhochhibhoya, S., Zanetti, M., Pierobon, F., Gatto, P., Maskey, R. K., & Cavalli, R. (2017). The global warming potential of building materials: an application of life cycle analysis in Nepal. Mountain Research and Development, 37(1), 47–55. https://doi.org/10.1659/MRD-JOURNAL-D-15-00043.1"
